,Age,All_Devs,Python,JavaScript
0,18,17784,20046,16446
1,19,16500,17100,16791
2,20,18012,20000,18942
3,21,20628,24744,21780
4,22,25206,30500,25704
5,23,30252,37732,29000
6,24,34368,41247,34372
7,25,38496,45372,37810
8,26,42000,48876,43515
9,27,46752,53850,46823
10,28,49320,57287,49293
11,29,53200,63016,53437
12,30,56000,65998,56373
13,31,62316,70003,62375
14,32,64928,70000,66674
15,33,67317,71496,68745
16,34,68748,75370,68746
17,35,73752,83640,74583
18,36,77232,84666,79000
19,37,78000,84392,78508
20,38,78508,78254,79996
21,39,79536,85000,80403
22,40,82488,87038,83820
23,41,88935,91991,88833
24,42,90000,100000,91660
25,43,90056,94796,87892
26,44,95000,97962,96243
27,45,90000,93302,90000
28,46,91633,99240,99313
29,47,91660,102736,91660
30,48,98150,112285,102264
31,49,98964,100771,100000
32,50,100000,104708,100000
33,51,98988,108423,91660
34,52,100000,101407,99240
35,53,108923,112542,108000
36,54,105000,122870,105000
37,55,103117,120000,104000
